Divi,,Type,,,,,,,,
Cardioversie,,-,,,,,,,,
Centrum voor thuisbeademing (CTB),Longziekten,-,,,,,,,,
Cetuximab,,Partner Divi,,,,,,,,
Chemotherapie,Borstkanker,Longziekten,Oncologie,,,,,,,
Chronische Lymfatische Leukemie,Oncologie,-,,,,,,,,
Chronische neusbijholteontsteking met neuspoliepen,KNO,-,,,,,,,,
Chronische pijn,Anesthesiologie en pijnbestrijding,-,,,,,,,,
Cognitieve problemen bij niet-aangeboren hersenletsel,Neurologie,-,,,,,,,,
Coloscopie,Maag-darm-leverziekten,-,,,,,,,,
Colposcopie: onderzoek van de baarmoederhals,Gynaecologie en Verloskunde,-,,,,,,,,
Combinatie van chemotherapie en immunotherapie,Oncologie,-,,,,,,,,
COPD,Longziekten,-,,,,,,,,
CPAP,Longziekten,-,,,,,,,,
CT Buik,,-,,,,,,,,
CT Hart,,-,,,,,,,,
CT Scan,,-,,,,,,,,
CT Scan (z.c.),,-,,,,,,,,
CT Thorax,,-,,,,,,,,
CT Thorax (zonder contrastvloeistof),,-,,,,,,,,
CTD-ILD,Longziekten,-,,,,,,,,
Cystoscopie,,-,,,,,,,,
Cytologische punctie,,-,,,,,,,,
DCIS (Ductaal Carcinoma In Situ),Borstkanker,Oncologie,,,,,,,,
De geheugenpoli,Geriatrie,-,,,,,,,,
De Inreda AP® van Inreda® Diabetic,,Partner Divi,,,,,,,,
Dedication Study,,-,,,,,,,,
Delier,Geriatrie,-,,,,,,,,
Deroofing,Dermatologie,-,,,,,,,,
DEXA-scan,Orthopedie,-,,,,,,,,
Diabetes type 1,Interne Geneeskunde,-,,,,,,,,
Diabetes type 1 (voor kinderen),Interne Geneeskunde,Kindergeneeskunde,,,,,,,,
Diabetes type 2,Interne Geneeskunde,-,,,,,,,,
Diabetische retinopathie,Interne Geneeskunde,Oogheelkunde,,,,,,,,
Diabetische voet,Chirurgie,-,,,,,,,,
Dialyse,Interne Geneeskunde,-,,,,,,,,
Diepe sedatie,Anesthesiologie en pijnbestrijding,-,,,,,,,,
Diffusie,Longziekten,-,,,,,,,,
Dikkedarmoperatie (ERAS),Chirurgie,Maag-darm-leverziekten,,,,,,,,
Doelgerichte therapie,Borstkanker,Longziekten,Oncologie,,,,,,,
Door uw knieën zakken,Fysiotherapie,-,,,,,,,,
Doorverwijzing naar de afdeling medische psychologie,,-,,,,,,,,
Dotter- en stentbehandeling (PCI),Cardiologie,-,,,,,,,,
Drempel-oefening,Fysiotherapie,-,,,,,,,,
Dubbel J-katheter,,-,,,,,,,,
Dubbel-J-katheter na een nefrostomie,,-,,,,,,,,
Duplexonderzoek van de halsvaten,Neurologie,-,,,,,,,,
Dysfagie (slikstoornis),KNO,-,,,,,,,,
E.E.G. Langdurige registratie,Neurologie,-,,,,,,,,
E.E.G. Slaaponthouding,Neurologie,-,,,,,,,,
E.M.G.,Neurologie,-,,,,,,,,
EBUS,Longziekten,-,,,,,,,,
ECG,Anesthesiologie en pijnbestrijding,Cardiologie,Chirurgie,Intensive Care,Interne Geneeskunde,Longziekten,,,,
Echo,,-,,,,,,,,
Echocardiografie,Cardiologie,-,,,,,,,,
Echografie Mammae,Borstkanker,-,,,,,,,,
Echografie van de prostaat,,-,,,,,,,,
ECL een afspraak maken,Dermatologie,-,,,,,,,,
ECT,,-,,,,,,,,
EEG voor kinderen,Kindergeneeskunde,-,,,,,,,,
Een shunt bij hemodialyse,Interne Geneeskunde,-,,,,,,,,
Eerste afspraak bij het CON,Chirurgie,-,,,,,,,,
Eigen medicijnen meenemen naar het ziekenhuis,Algemeen,-,,,,,,,,
Eiwitrijke voeding,Algemeen,-,,,,,,,,
Elektro-encefalogram (E.E.G.),Neurologie,-,,,,,,,,
Elektrofysiologisch onderzoek (EFO) en ablatiebehandeling,Cardiologie,-,,,,,,,,
Ellebogen buigen (zittend),Fysiotherapie,-,,,,,,,,
EMDR,,-,,,,,,,,
EMDR voor kinderen,,-,,,,,,,,
Endo-Sponge behandeling,Maag-darm-leverziekten,-,,,,,,,,
Endometriose,Gynaecologie en Verloskunde,-,,,,,,,,
Enkeloefeningen (liggend),Fysiotherapie,-,,,,,,,,
eNose onderzoek,Longziekten,Oncologie,,,,,,,,
Epidurale verdoving (ruggenprik),Anesthesiologie en pijnbestrijding,-,,,,,,,,
ERCP,Maag-darm-leverziekten,-,,,,,,,,
Ernstig astma,,-,,,,,,,,
EVAR-operatie bij aneurysma,Chirurgie,-,,,,,,,,
FAG-onderzoek,Oogheelkunde,-,,,,,,,,
Fenomeen van Raynaud,,-,,,,,,,,
FESS,KNO,-,,,,,,,,
FESS (Algehele Verdoving),,-,,,,,,,,
Fibromyalgie,,-,,,,,,,,
Fibroscan,Maag-darm-leverziekten,-,,,,,,,,
Fietstest,Longziekten,-,,,,,,,,
Fietstest cardio,Cardiologie,-,,,,,,,,
Flexibele scopie,KNO,-,,,,,,,,
Follikelpunctie,Gynaecologie en Verloskunde,-,,,,,,,,
Fotodynamische therapie,Dermatologie,-,,,,,,,,
Fototherapie,Neonatologie,-,,,,,,,,
Fundoplicatie,Chirurgie,Maag-darm-leverziekten,,,,,,,,
Fysiotherapie na totale heupoperatie,Fysiotherapie,-,,,,,,,,
Fysiotherapie na totale knieoperatie,Fysiotherapie,-,,,,,,,,
Galblaasoperatie,Chirurgie,Interne Geneeskunde,Maag-darm-leverziekten,,,,,,,
Galdrain,,-,,,,,,,,
Gastroscopie,Maag-darm-leverziekten,-,,,,,,,,
Gebroken pols (polsfractuur),Chirurgie,Orthopedie,,,,,,,,
"Gedachten, emoties en herinneringen bij pijn",,-,,,,,,,,
Gehoorgang wijder maken (meatusplastiek),KNO,-,,,,,,,,
Gewrichtspunctie,Chirurgie,Orthopedie,,,,,,,,
Gezond en fit,Algemeen,-,,,,,,,,
Gezond gewicht,Algemeen,-,,,,,,,,
Gezond leven bij kanker,Borstkanker,Chirurgie,Fysiotherapie,Geriatrie,Gynaecologie en Verloskunde,Huisarts,Longziekten,Maag-darm-leverziekten,Oncologie,
Gipsbehandeling bij een diabetische voet,Interne Geneeskunde,-,,,,,,,,
Glaucoom,Oogheelkunde,-,,,,,,,,
Goed volhouden van uw behandeling en adviezen,Algemeen,-,,,,,,,,
Goedaardige borstafwijkingen,Borstkanker,Oncologie,,,,,,,,
Haarnestcyste (Sinus pilonidalis),Chirurgie,-,,,,,,,,
Hallux valgus operatie,Orthopedie,-,,,,,,,,
Hartaandoeningen,Cardiologie,-,,,,,,,,
Hartfalen,Cardiologie,Geriatrie,Huisarts,,,,,,,
Hartfalen (Aanpassen manier van leven),Cardiologie,-,,,,,,,,
Hartfalen (Begeleiding en controle),Cardiologie,-,,,,,,,,
Hartfalen (Medicijnen),Cardiologie,-,,,,,,,,
Hartfalen (Oorzaken),Cardiologie,-,,,,,,,,
Hartkatheterisatie (CAG),Cardiologie,-,,,,,,,,
Hartklepoperatie,Cardiologie,-,,,,,,,,
Hartrevalidatie,Cardiologie,-,,,,,,,,
Helium residu,Longziekten,-,,,,,,,,
Herbeoordeling op de spoedeisende hulp,,-,,,,,,,,
Hersenecho bij een pasgeboren baby,Neonatologie,-,,,,,,,,
Hersentumoroperatie,Neurologie,-,,,,,,,,
Herstel na een opname op de Intensive Care (IC),Intensive Care,-,,,,,,,,
Het plaatsen van een hartritmemonitor,,-,,,,,,,,
Het voorkomen van een longaanval,Longziekten,-,,,,,,,,
Heup buigen (liggend),Fysiotherapie,-,,,,,,,,
Heupprothese,Orthopedie,-,,,,,,,,
High-TeC Study,,-,,,,,,,,
Histamine drempel,Longziekten,-,,,,,,,,
Histologisch biopt,Borstkanker,Chirurgie,Geriatrie,Gynaecologie en Verloskunde,Interne Geneeskunde,Maag-darm-leverziekten,,Oncologie,,
Hoest,Longziekten,-,,,,,,,,
Hoge bloeddruk en thuismeten,Cardiologie,Geriatrie,Gynaecologie en Verloskunde,Interne Geneeskunde,Neurologie,,,,,
Holteronderzoek,Cardiologie,-,,,,,,,,
Hoofdhuidkoeling bij chemotherapie (coldcap),Borstkanker,Oncologie,,,,,,,,
Hoog cholesterol,Interne Geneeskunde,-,,,,,,,,
Hoortoestellen,KNO,-,,,,,,,,
Hormonale (endocriene) therapie,Borstkanker,Oncologie,,,,,,,,
Huidbiopt,Dermatologie,-,,,,,,,,
Hulp en advies bij een zwangerschap (POP-team),Gynaecologie en Verloskunde,-,,,,,,,,
Hygiëneregels op de couveuse-afdeling,Neonatologie,-,,,,,,,,
Hyperventilatie test,Longziekten,-,,,,,,,,
Hypnopoli,Kindergeneeskunde,-,,,,,,,,
Hysterosalpingografie (HSG),Gynaecologie en Verloskunde,-,,,,,,,,
Hysteroscopie,Gynaecologie en Verloskunde,-,,,,,,,,
Immunotherapie,Borstkanker,Longziekten,Oncologie,,,,,,,
Immunotherapie met Imfinzi (durvalumab),,Partner Divi,,,,,,,,
Implantaat in de kaak,"Mond-, kaak- en aangezichtschirurgie",-,,,,,,,,
In gesprek over netelroos,Dermatologie,Huisarts,Interne Geneeskunde,,,,,,,
Inbrengen van een dialysekatheter,Interne Geneeskunde,-,,,,,,,,
Inflammatory Bowel Disease (IBD),Maag-darm-leverziekten,-,,,,,,,,
Informed consent biobank procedure,,-,,,,,,,,
Inhalatie-instructie,,-,,,,,,,,
Instelnacht CPAP,Longziekten,-,,,,,,,,
Intake en werkgroep bij het ECL (kinderen),Dermatologie,-,,,,,,,,
Intake en werkgroep bij het ECL (Volwassenen),Dermatologie,-,,,,,,,,
Interstitiële longziekten (ILD),Longziekten,-,,,,,,,,
Intra-uteriene inseminatie in eigen cyclus (IUI),Gynaecologie en Verloskunde,-,,,,,,,,
Intra-uteriene inseminatie met donorsperma (KID-IUI),Gynaecologie en Verloskunde,-,,,,,,,,
Intra-uteriene inseminatie met milde ovariële hyperstimulatie (MOH-IUI),Gynaecologie en Verloskunde,-,,,,,,,,
Invasieve pijnbestrijding,Anesthesiologie en pijnbestrijding,-,,,,,,,,
Inwendige echo (EUS),Maag-darm-leverziekten,-,,,,,,,,
Inwendige echo vanuit de slokdarm (EUS-FNA),Longziekten,-,,,,,,,,
Isolatie,,-,,,,,,,,
Jicht,,-,,,,,,,,
Kaakcorrectie van de boven- en onderkaak,Chirurgie,"Mond-, kaak- en aangezichtschirurgie",,,,,,,,
Kaakcorrectie van de onderkaak,Chirurgie,"Mond-, kaak- en aangezichtschirurgie",,,,,,,,
Kaakklachten,"Mond-, kaak- en aangezichtschirurgie",-,,,,,,,,
Kanker,Borstkanker,Oncologie,,,,,,,,
"Kanker, seksualiteit en intimiteit",Borstkanker,Longziekten,Oncologie,,,,,,,
Keizersnede (Sectio),Gynaecologie en Verloskunde,-,,,,,,,,
Keytruda dagboek combinatie pembrolizumab en chemotherapie,,"PDF, Partner Divi",,,,,,,,
Keytruda pan-tumor patiëntendagboek,,"PDF, Partner Divi",,,,,,,,
Keytruda Pembrolizumab patiëntenfolder,,"PDF, Partner Divi",,,,,,,,
Keytruda Pembrolizumab patiëntenfolder Arabisch,,"PDF, Partner Divi",,,,,,,,
Keytruda Pembrolizumab patiëntenfolder Turks,,"PDF, Partner Divi",,,,,,,,
Kinderroute OK,Anesthesiologie en pijnbestrijding,-,,,,,,,,
Kinderwens en reuma,,-,,,,,,,,
Klaplong (pneumothorax),Longziekten,-,,,,,,,,
Knie buigen (staand),Fysiotherapie,-,,,,,,,,
Knie buigen (zittend),Fysiotherapie,-,,,,,,,,
Knie heffen (staand),Fysiotherapie,-,,,,,,,,
Knie heffen (zittend),Fysiotherapie,-,,,,,,,,
Knie strekken (zittend),Fysiotherapie,-,,,,,,,,
Knieprothese,Orthopedie,-,,,,,,,,
Kom in beweging,Algemeen,-,,,,,,,,
Kousen aan- en uittrekken,Orthopedie,-,,,,,,,,
Leqvio (inclisiran),,Partner Divi,,,,,,,,
Leqvio (inclisiran) voor zorgverleners,,Partner Divi,,,,,,,,
Leven met COPD,Longziekten,-,,,,,,,,
Leven met een colostoma,Maag-darm-leverziekten,-,,,,,,,,
Leven met een darmstoma,Chirurgie,Maag-darm-leverziekten,,,,,,,,
Leven met een ileostoma,Maag-darm-leverziekten,-,,,,,,,,
Leven met een urostoma,Chirurgie,-,,,,,,,,
Leven na een orgaantransplantatie,Algemeen,-,,,,,,,,
Leverablatie,Chirurgie,Maag-darm-leverziekten,,,,,,,,
Leveroperatie,Chirurgie,-,,,,,,,,
Lichaamseigen pijnstillers en opiaten,,-,,,,,,,,
Lichamelijk onderzoek,Algemeen,-,,,,,,,,
Lichte en matige sedatie,Anesthesiologie en pijnbestrijding,-,,,,,,,,
Lichttherapie,Dermatologie,-,,,,,,,,
Liesbreukoperatie,Chirurgie,-,,,,,,,,
Liesbreukoperatie - TREPP,Chirurgie,-,,,,,,,,
Lipoedeem,Dermatologie,-,,,,,,,,
Lithium,,-,,,,,,,,
Longaanval,Longziekten,-,,,,,,,,
Longembolie,Longziekten,-,,,,,,,,
Longkanker,Longziekten,Oncologie,,,,,,,,
Longkanker stadium III,,Partner Divi,,,,,,,,
Longontsteking,Intensive Care,Interne Geneeskunde,Longziekten,Neonatologie,,,,,,
Longoperatie,Chirurgie,Longziekten,,,,,,,,
Longperfusie,,-,,,,,,,,
Longpunctie,Longziekten,-,,,,,,,,
Longrevalidatie,Longziekten,-,,,,,,,,
Looptest,Cardiologie,Fysiotherapie,Longziekten,,,,,,,
Lopen met een looprek,Fysiotherapie,-,,,,,,,,
Lopen met een rollator,Fysiotherapie,-,,,,,,,,
Lopen met hulpmiddelen na voorvoet operatie,Fysiotherapie,-,,,,,,,,
Lumbaalpunctie,Neurologie,-,,,,,,,,
Lumbale hernia,Chirurgie,Neurologie,,,,,,,,
Lumbale spondylodese bij instabiele wervels,Neurologie,-,,,,,,,,
Lumbale stenose,,-,,,,,,,,
Maag-darmischemie,Maag-darm-leverziekten,-,,,,,,,,
Maatregelen bij MRSA,Infectieziektebestrijding,-,,,,,,,,
Maculadegeneratie,Oogheelkunde,-,,,,,,,,
Mammapoli,,-,,,,,,,,
Mammografie,Borstkanker,-,,,,,,,,
Mantelzorger bij COPD: hoe zorg ik goed voor mezelf,,Partner Divi,,,,,,,,
Mantoux test,Longziekten,-,,,,,,,,
Manuele therapie bij hoofd- en nekpijn,Fysiotherapie,-,,,,,,,,
Marcaïnisatie,Orthopedie,-,,,,,,,,
Medische hypnose,,-,,,,,,,,
Meedenkconsult,Algemeen,-,,,,,,,,
Meedoen aan een medisch-wetenschappelijk onderzoek,Algemeen,-,,,,,,,,
Meekijkconsult,Algemeen,-,,,,,,,,
Met ontslag naar een tijdelijke plek,Algemeen,-,,,,,,,,
Met sondevoeding naar huis,Neonatologie,-,,,,,,,,
Methacholine drempel,Longziekten,-,,,,,,,,
Methotrexaat,Dermatologie,Maag-darm-leverziekten,,,,,,,,
Metronoomtest,Longziekten,-,,,,,,,,
Middenrifbandje,Chirurgie,-,,,,,,,,
Minder zout eten,Algemeen,-,,,,,,,,
MIP-MEP,Longziekten,-,,,,,,,,
Mohs,Dermatologie,-,,,,,,,,
MRA beugel,"Mond-, kaak- en aangezichtschirurgie",-,,,,,,,,
MRI Bewegingsapparaat,,-,,,,,,,,
MRI Hart,Cardiologie,-,,,,,,,,
MRI Hersenen,,-,,,,,,,,
MRI Mammografie,Borstkanker,-,,,,,,,,
MRI-onderzoek,,-,,,,,,,,
Myocardperfusie scintigrafie,,-,,,,,,,,
Na een astma-aanval,Longziekten,-,,,,,,,,
Na een onderbeenamputatie,Chirurgie,-,,,,,,,,
Naar huis met antibiotica,Algemeen,-,,,,,,,,
Nazorg na een hartinfarct,Cardiologie,-,,,,,,,,
Nazorg na kanker,Oncologie,-,,,,,,,,
Nazorg neusoperatie,KNO,-,,,,,,,,
Nefrostomie,,-,,,,,,,,
Nekstenose,Neurologie,-,,,,,,,,
Nervus Vagus Stimulator,Neurologie,-,,,,,,,,
Netelroos,Dermatologie,-,,,,,,,,
Neuromodulatie,Anesthesiologie en pijnbestrijding,-,,,,,,,,
Neuropsychologisch onderzoek,Geriatrie,Neurologie,,,,,,,,
Neusbloeding  behandeling,KNO,-,,,,,,,,
Neusspoelen met verschillende hulpmiddelen,KNO,-,,,,,,,,
Neusspoelen met zoutoplossing,KNO,-,,,,,,,,
Nierbiopsie,,-,,,,,,,,
Nierpunctie,Interne Geneeskunde,-,,,,,,,,
NO-meting,Longziekten,-,,,,,,,,
Nuchter zijn,Algemeen,-,,,,,,,,
Nuss bar,Kindergeneeskunde,-,,,,,,,,
Oefeningen na een botbreuk in de arm,Fysiotherapie,-,,,,,,,,
Oefeningen na een botbreuk in het been,Fysiotherapie,-,,,,,,,,
Oefeningen tijdens een behandeltraject bij kanker,Borstkanker,Chirurgie,Fysiotherapie,Geriatrie,Gynaecologie en Verloskunde,Huisarts,Interne Geneeskunde,Longziekten,Maag-darm-leverziekten,Oncologie
Oefeningen trap op en af,Fysiotherapie,-,,,,,,,,
Ogen druppelen,Oogheelkunde,-,,,,,,,,
Okselklieroperatie,Chirurgie,Oncologie,,,,,,,,
Omgaan met benauwdheid bij COPD,,Partner Divi,,,,,,,,
Omgaan met kwetsbaarheid,Geriatrie,-,,,,,,,,
Omgaan met vermoeidheid na hersenletsel,Neurologie,-,,,,,,,,
Omgekeerde schouderprothese,Orthopedie,-,,,,,,,,
Omleidingsoperatie (CABG),Cardiologie,-,,,,,,,,
Omnitrope®  in de SurePal® pen,,Partner Divi,,,,,,,,
Onbelast lopen met krukken,Fysiotherapie,-,,,,,,,,
Onderzoek naar voedselallergie,Kindergeneeskunde,-,,,,,,,,
Ontslag na ziekenhuisopname,Algemeen,-,,,,,,,,
Ontsteking van een gewrichtsprothese,Orthopedie,-,,,,,,,,
Ontwikkelingsgerichte zorg,Neonatologie,-,,,,,,,,
Op uw tenen staan,Fysiotherapie,-,,,,,,,,
Operatie aan de  stembanden,,-,,,,,,,,
Operatie aan de alvleesklier (Pancreaticojejunostomie),Chirurgie,-,,,,,,,,
Operatie aan de alvleesklier (PPPD en Whipple),Chirurgie,Oncologie,,,,,,,,
Operatie aan de alvleesklierstaart,Chirurgie,Oncologie,,,,,,,,
Operatie aan een kunstheup,Orthopedie,-,,,,,,,,
Operatie aan een kunstknie,Orthopedie,-,,,,,,,,
Operatie bij carpaal tunnel syndroom,,-,,,,,,,,
Operatie bij een nekhernia,Neurologie,-,,,,,,,,
Operatie bij een vernauwde halsslagader (Carotisdesobstructie eversietechniek),Chirurgie,-,,,,,,,,
Operatie bij een vernauwde halsslagader (Carotisdesobstructie),Chirurgie,-,,,,,,,,
Operatie bij eierstokkanker,Gynaecologie en Verloskunde,-,,,,,,,,
Opioïden bij benauwdheid,Longziekten,-,,,,,,,,
Opname in verband met ventielbehandeling,Longziekten,-,,,,,,,,
Opnametraject lymfoedeem,Dermatologie,-,,,,,,,,
Opstaan en zitten,Fysiotherapie,-,,,,,,,,
Oriënterend Fertiliteitsonderzoek (OFO),Gynaecologie en Verloskunde,-,,,,,,,,
Orthostatische hypotensie,Geriatrie,Interne Geneeskunde,Neurologie,,,,,,,
OSA,KNO,Longziekten,Neurologie,,,,,,,
Ovulatie-inductie,Gynaecologie en Verloskunde,-,,,,,,,,
Patiëntparticipatie,Algemeen,-,,,,,,,,
PBM,,-,,,,,,,,
Perifeer Arterieel Vaatlijden (PAV),Cardiologie,Geriatrie,Interne Geneeskunde,,,,,,,
PERTUZUMAB (Perjeta®),,"PDF, Partner Divi",,,,,,,,
PESA-behandeling,Gynaecologie en Verloskunde,-,,,,,,,,
PET-CT,Borstkanker,-,,,,,,,,
PICC-lijn,Oncologie,-,,,,,,,,
"Pijn bij axiale SpA, RA en PsA (je-versie)",,-,,,,,,,,
"Pijn bij axiale SpA, RA en PsA (u-versie)",,-,,,,,,,,
Plaatsen van een definitieve prothese na een tissue expander,Borstkanker,-,,,,,,,,
Plaatsen van een Inwendige Defibrillator (ICD),Cardiologie,-,,,,,,,,
Plaatsen van een pacemaker,Cardiologie,-,,,,,,,,
Plaatsen van een spiraal,Gynaecologie en Verloskunde,-,,,,,,,,
Plaatsen van een subcutane inwendige defibrillator (S-ICD),Cardiologie,-,,,,,,,,
Plaatsen van een tissue expander,Borstkanker,-,,,,,,,,
Plaatsing van een PEG- of PEG J-sonde,Maag-darm-leverziekten,-,,,,,,,,
Pleurapunctie (diagnostisch),Longziekten,-,,,,,,,,
Pleurapunctie (ontlastend),Longziekten,-,,,,,,,,
Pneumotrial,,-,,,,,,,,
Poliepen in de dikke darm,Maag-darm-leverziekten,-,,,,,,,,
Polygrafie,KNO,Longziekten,Neurologie,,,,,,,
Polygrafie Nox T3,KNO,Longziekten,Neurologie,,,,,,,
Polysomnografie,Longziekten,-,Neurologie,,,,,,,
Port-a-cath,Borstkanker,Interne Geneeskunde,Oncologie,,,,,,,
Positieve Gezondheid,,Partner Divi,,,,,,,,
Positieve Gezondheid (Vereenvoudigd),,Partner Divi,,,,,,,,
Praten over de laatste levensfase,Algemeen,-,,,,,,,,
Prehabilitatie,Algemeen,-,,,,,,,,
Preoperatieve screening (POS),Algemeen,-,,,,,,,,
Prikkelbare darm syndroom (PDS),Maag-darm-leverziekten,-,,,,,,,,
Proactieve zorg voor iedereen,Algemeen,-,,,,,,,,
Proactieve zorgplanning,Algemeen,-,,,,,,,,
PROMs,Algemeen,-,,,,,,,,
Prostaatpunctie,,-,,,,,,,,
Prostaatverwijdering,Chirurgie,-,,,,,,,,
R-CHOP bij non-hodgkin,Oncologie,-,,,,,,,,
Radiotherapie,Borstkanker,Longziekten,Oncologie,,,,,,,
Recapture studie,,-,,,,,,,,
Reconstructie van het neustussenschot,Chirurgie,KNO,,,,,,,,
